age,gender,height_cm,weight_kg,bmi,bmi_category,fitness_goal,workout_experience,activity_level,equipment_available,equipment_count,has_gym_access,workout_days_per_week,diet_preference,target_split
34,male,172.2,72.2,24.3,normal,weight_loss,intermediate,extra_active,none,1,False,5,non_vegetarian,home_bodyweight
31,other,179.3,81.6,25.4,overweight,muscle_gain,advanced,sedentary,full_gym,1,True,3,vegan,push_pull_legs
16,male,174.7,60.9,20.0,normal,weight_loss,beginner,moderately_active,none,1,False,4,non_vegetarian,home_bodyweight
20,male,172.7,82.0,27.5,overweight,muscle_gain,beginner,moderately_active,none,1,False,6,non_vegetarian,home_bodyweight
28,female,158.9,59.9,23.7,normal,general_fitness,intermediate,lightly_active,none,1,False,5,non_vegetarian,home_bodyweight
33,male,184.4,79.3,23.3,normal,general_fitness,intermediate,lightly_active,none,1,False,4,non_vegetarian,home_bodyweight
26,male,176.7,76.4,24.5,normal,weight_loss,beginner,very_active,"dumbbells,resistance_bands",2,False,6,vegetarian,home_bodyweight
29,male,176.6,118.0,37.8,obese,muscle_gain,beginner,lightly_active,dumbbells,1,False,4,vegetarian,upper_lower
20,male,173.0,52.7,17.6,underweight,muscle_gain,beginner,lightly_active,full_gym,1,True,5,non_vegetarian,push_pull_legs
31,male,183.4,70.0,20.8,normal,muscle_gain,intermediate,lightly_active,full_gym,1,True,5,vegetarian,push_pull_legs
16,male,173.9,58.7,19.4,normal,weight_loss,beginner,lightly_active,dumbbells,1,False,5,non_vegetarian,full_body
20,male,174.3,48.2,15.9,underweight,muscle_gain,beginner,moderately_active,resistance_bands,1,False,3,vegetarian,home_bodyweight
47,male,166.0,56.9,20.6,normal,general_fitness,intermediate,sedentary,dumbbells,1,False,3,vegan,push_pull_legs
54,female,154.4,55.0,23.1,normal,weight_loss,beginner,very_active,dumbbells,1,False,5,vegetarian,full_body
44,other,160.1,61.4,24.0,normal,muscle_gain,advanced,very_active,"dumbbells,resistance_bands",2,False,5,non_vegetarian,push_pull_legs
32,female,159.6,58.4,22.9,normal,muscle_gain,intermediate,moderately_active,dumbbells,1,False,3,non_vegetarian,push_pull_legs
26,female,160.3,64.5,25.1,overweight,general_fitness,beginner,moderately_active,none,1,False,2,non_vegetarian,home_bodyweight
32,male,182.1,84.4,25.5,overweight,weight_loss,beginner,sedentary,none,1,False,5,vegetarian,home_bodyweight
28,male,175.0,65.7,21.5,normal,muscle_gain,beginner,lightly_active,none,1,False,4,vegan,home_bodyweight
27,female,175.6,98.5,31.9,obese,general_fitness,intermediate,moderately_active,dumbbells,1,False,1,non_vegetarian,full_body
21,female,154.8,72.1,30.1,obese,general_fitness,advanced,lightly_active,"dumbbells,barbell",2,False,4,vegetarian,upper_lower_strength
32,male,162.8,77.0,29.1,overweight,weight_loss,beginner,sedentary,dumbbells,1,False,5,non_vegetarian,full_body
18,male,171.7,75.8,25.7,overweight,muscle_gain,beginner,moderately_active,none,1,False,4,vegetarian,home_bodyweight
25,male,174.3,71.3,23.5,normal,muscle_gain,beginner,lightly_active,none,1,False,4,non_vegetarian,home_bodyweight
41,male,157.0,58.1,23.6,normal,general_fitness,beginner,moderately_active,full_gym,1,True,3,non_vegetarian,full_body
31,male,172.4,49.8,16.8,underweight,muscle_gain,advanced,lightly_active,"dumbbells,resistance_bands",2,False,5,vegetarian,push_pull_legs
44,female,152.0,64.9,28.1,overweight,maintenance,beginner,sedentary,none,1,False,2,vegetarian,home_bodyweight
27,female,155.2,57.5,23.9,normal,weight_loss,intermediate,moderately_active,none,1,False,4,vegetarian,home_bodyweight
33,male,187.1,105.7,30.2,obese,general_fitness,advanced,sedentary,none,1,False,3,vegetarian,home_bodyweight
44,female,164.9,76.1,28.0,overweight,muscle_gain,intermediate,sedentary,"dumbbells,pull_up_bar",2,False,4,non_vegetarian,upper_lower
29,female,157.5,69.3,27.9,overweight,general_fitness,intermediate,sedentary,full_gym,1,True,5,non_vegetarian,push_pull_legs
35,male,173.7,91.8,30.4,obese,muscle_gain,beginner,lightly_active,full_gym,1,True,5,non_vegetarian,push_pull_legs
44,other,173.8,52.5,17.4,underweight,muscle_gain,intermediate,moderately_active,dumbbells,1,False,5,vegan,push_pull_legs
17,male,171.4,93.7,31.9,obese,general_fitness,beginner,moderately_active,dumbbells,1,False,5,non_vegetarian,full_body
22,female,155.4,57.3,23.7,normal,general_fitness,beginner,very_active,none,1,False,4,vegetarian,home_bodyweight
22,male,177.2,95.0,30.3,obese,weight_loss,intermediate,lightly_active,none,1,False,5,non_vegetarian,home_bodyweight
16,female,164.0,67.6,25.1,overweight,general_fitness,beginner,sedentary,full_gym,1,True,2,vegetarian,full_body
43,male,160.6,57.3,22.2,normal,general_fitness,intermediate,moderately_active,resistance_bands,1,False,5,non_vegetarian,home_bodyweight
16,male,185.3,92.1,26.8,overweight,general_fitness,beginner,moderately_active,dumbbells,1,False,4,non_vegetarian,home_bodyweight
23,female,167.3,82.6,29.5,overweight,weight_loss,intermediate,lightly_active,none,1,False,2,non_vegetarian,home_bodyweight
30,male,176.9,64.2,20.5,normal,muscle_gain,intermediate,lightly_active,none,1,False,4,vegetarian,home_bodyweight
27,other,171.1,82.2,28.1,overweight,muscle_gain,beginner,sedentary,none,1,False,3,non_vegetarian,home_bodyweight
27,male,185.4,70.9,20.6,normal,muscle_gain,beginner,extra_active,resistance_bands,1,False,5,non_vegetarian,home_bodyweight
30,female,167.5,71.6,25.5,overweight,muscle_gain,intermediate,moderately_active,dumbbells,1,False,4,non_vegetarian,upper_lower
36,male,180.9,94.5,28.9,overweight,maintenance,beginner,very_active,dumbbells,1,False,2,vegetarian,full_body
26,male,161.0,81.1,31.3,obese,weight_loss,intermediate,lightly_active,full_gym,1,True,2,vegetarian,full_body
29,female,170.5,48.4,16.6,underweight,general_fitness,beginner,moderately_active,dumbbells,1,False,4,vegetarian,home_bodyweight
16,other,161.6,70.2,26.9,overweight,weight_loss,intermediate,moderately_active,"dumbbells,barbell",2,False,6,non_vegetarian,push_pull_legs
30,male,165.1,43.7,16.0,underweight,muscle_gain,beginner,sedentary,none,1,False,1,non_vegetarian,home_bodyweight
24,female,165.0,75.6,27.8,overweight,weight_loss,beginner,moderately_active,"dumbbells,pull_up_bar",2,False,4,vegetarian,home_bodyweight
35,female,163.5,70.4,26.3,overweight,general_fitness,intermediate,moderately_active,full_gym,1,True,4,non_vegetarian,upper_lower
26,female,163.3,74.3,27.9,overweight,maintenance,intermediate,sedentary,none,1,False,3,vegetarian,home_bodyweight
33,female,160.3,63.1,24.6,normal,weight_loss,beginner,moderately_active,"dumbbells,pull_up_bar",2,False,6,non_vegetarian,home_bodyweight
16,female,153.6,39.1,16.6,underweight,weight_loss,beginner,lightly_active,dumbbells,1,False,3,non_vegetarian,full_body
22,other,174.0,70.7,23.4,normal,general_fitness,intermediate,extra_active,full_gym,1,True,5,non_vegetarian,push_pull_legs
38,male,184.3,85.5,25.2,overweight,general_fitness,beginner,moderately_active,full_gym,1,True,3,vegetarian,full_body
29,female,156.6,51.1,20.8,normal,muscle_gain,beginner,lightly_active,dumbbells,1,False,5,vegetarian,push_pull_legs
20,male,172.5,88.0,29.6,overweight,general_fitness,beginner,very_active,full_gym,1,True,4,non_vegetarian,home_bodyweight
16,male,177.7,63.5,20.1,normal,weight_loss,advanced,lightly_active,resistance_bands,1,False,7,vegetarian,home_bodyweight
27,female,150.1,63.4,28.1,overweight,muscle_gain,beginner,lightly_active,"dumbbells,barbell",2,False,4,vegetarian,upper_lower
23,male,167.5,61.3,21.8,normal,muscle_gain,advanced,lightly_active,"dumbbells,pull_up_bar",2,False,2,vegan,full_body
26,female,164.1,73.1,27.1,overweight,weight_loss,beginner,moderately_active,resistance_bands,1,False,2,vegan,home_bodyweight
25,female,152.4,67.4,29.0,overweight,muscle_gain,beginner,very_active,resistance_bands,1,False,5,non_vegetarian,home_bodyweight
38,male,177.7,76.3,24.2,normal,general_fitness,advanced,lightly_active,resistance_bands,1,False,4,vegan,home_bodyweight
46,female,175.5,76.8,24.9,normal,maintenance,intermediate,lightly_active,full_gym,1,True,4,vegan,upper_lower
38,female,156.5,63.6,26.0,overweight,general_fitness,beginner,lightly_active,pull_up_bar,1,False,7,non_vegetarian,home_bodyweight
31,male,169.2,46.6,16.3,underweight,muscle_gain,beginner,moderately_active,resistance_bands,1,False,4,non_vegetarian,home_bodyweight
18,male,171.8,72.4,24.5,normal,general_fitness,intermediate,lightly_active,"dumbbells,barbell",2,False,2,vegetarian,full_body
38,female,155.7,62.4,25.7,overweight,general_fitness,beginner,moderately_active,full_gym,1,True,7,non_vegetarian,home_bodyweight
25,male,176.3,83.9,27.0,overweight,muscle_gain,intermediate,very_active,full_gym,1,True,4,non_vegetarian,upper_lower
38,male,167.0,73.7,26.4,overweight,general_fitness,beginner,moderately_active,none,1,False,4,vegan,home_bodyweight
30,male,185.0,86.7,25.3,overweight,general_fitness,intermediate,very_active,full_gym,1,True,6,non_vegetarian,push_pull_legs
27,male,173.8,64.2,21.3,normal,general_fitness,intermediate,very_active,none,1,False,2,vegetarian,home_bodyweight
20,female,166.3,82.2,29.7,overweight,maintenance,intermediate,lightly_active,none,1,False,5,vegetarian,home_bodyweight
25,male,178.2,75.4,23.7,normal,general_fitness,advanced,sedentary,full_gym,1,True,3,non_vegetarian,push_pull_legs
16,male,172.7,45.6,15.3,underweight,muscle_gain,intermediate,moderately_active,none,1,False,2,vegetarian,home_bodyweight
40,female,167.8,57.2,20.3,normal,weight_loss,advanced,sedentary,dumbbells,1,False,3,non_vegetarian,push_pull_legs
16,male,171.2,105.1,35.9,obese,general_fitness,advanced,moderately_active,none,1,False,4,non_vegetarian,home_bodyweight
23,female,165.0,47.2,17.3,underweight,muscle_gain,beginner,lightly_active,full_gym,1,True,3,non_vegetarian,push_pull_legs
29,male,174.4,86.2,28.3,overweight,weight_loss,intermediate,moderately_active,full_gym,1,True,3,vegan,full_body
34,female,157.5,74.3,30.0,obese,weight_loss,intermediate,moderately_active,"dumbbells,barbell",2,False,2,vegetarian,full_body
19,female,156.2,74.0,30.3,obese,maintenance,beginner,moderately_active,pull_up_bar,1,False,3,vegetarian,home_bodyweight
41,female,159.1,78.9,31.2,obese,general_fitness,intermediate,moderately_active,full_gym,1,True,4,vegan,upper_lower
30,female,172.2,65.9,22.2,normal,weight_loss,beginner,moderately_active,"dumbbells,barbell",2,False,2,non_vegetarian,full_body
24,female,164.9,48.4,17.8,underweight,weight_loss,beginner,moderately_active,full_gym,1,True,4,vegan,home_bodyweight
23,female,169.5,44.9,15.6,underweight,weight_loss,intermediate,moderately_active,full_gym,1,True,5,non_vegetarian,push_pull_legs
16,male,169.2,72.9,25.5,overweight,maintenance,beginner,extra_active,full_gym,1,True,5,vegan,upper_lower
26,other,166.7,68.5,24.7,normal,general_fitness,beginner,moderately_active,none,1,False,4,non_vegetarian,home_bodyweight
34,female,166.3,73.8,26.7,overweight,general_fitness,intermediate,very_active,full_gym,1,True,2,non_vegetarian,full_body
31,male,189.2,85.5,23.9,normal,maintenance,intermediate,very_active,none,1,False,2,vegetarian,home_bodyweight
21,female,155.3,44.4,18.4,underweight,weight_loss,beginner,sedentary,full_gym,1,True,3,non_vegetarian,full_body
27,male,177.3,76.0,24.2,normal,maintenance,beginner,lightly_active,"dumbbells,resistance_bands",2,False,5,vegan,upper_lower
36,male,180.2,75.7,23.3,normal,general_fitness,beginner,lightly_active,none,1,False,4,non_vegetarian,home_bodyweight
33,female,163.2,47.8,17.9,underweight,weight_loss,beginner,lightly_active,full_gym,1,True,6,non_vegetarian,home_bodyweight
30,female,156.2,59.2,24.3,normal,muscle_gain,advanced,lightly_active,dumbbells,1,False,3,non_vegetarian,push_pull_legs
40,female,170.1,68.3,23.6,normal,muscle_gain,intermediate,moderately_active,pull_up_bar,1,False,1,vegetarian,home_bodyweight
16,male,166.9,62.5,22.4,normal,weight_loss,intermediate,sedentary,"dumbbells,barbell",2,False,3,non_vegetarian,full_body
34,female,175.0,57.3,18.7,normal,weight_loss,beginner,very_active,none,1,False,6,non_vegetarian,home_bodyweight
30,male,186.3,66.4,19.1,normal,weight_loss,beginner,moderately_active,none,1,False,1,vegetarian,home_bodyweight
44,male,163.4,49.4,18.5,normal,weight_loss,beginner,sedentary,"dumbbells,barbell",2,False,4,vegetarian,home_bodyweight
23,male,180.7,79.1,24.2,normal,general_fitness,beginner,sedentary,resistance_bands,1,False,6,non_vegetarian,home_bodyweight
33,female,158.2,74.2,29.6,overweight,general_fitness,beginner,lightly_active,full_gym,1,True,2,non_vegetarian,full_body
22,male,178.8,90.5,28.3,overweight,general_fitness,beginner,very_active,none,1,False,2,vegetarian,home_bodyweight
16,male,178.8,63.9,20.0,normal,weight_loss,intermediate,moderately_active,dumbbells,1,False,7,non_vegetarian,home_bodyweight
16,male,178.1,63.7,20.1,normal,muscle_gain,beginner,moderately_active,full_gym,1,True,5,vegetarian,push_pull_legs
34,female,163.6,60.7,22.7,normal,weight_loss,beginner,lightly_active,dumbbells,1,False,4,non_vegetarian,home_bodyweight
24,male,175.2,77.5,25.2,overweight,muscle_gain,intermediate,lightly_active,none,1,False,6,non_vegetarian,home_bodyweight
32,female,158.5,59.2,23.6,normal,weight_loss,beginner,moderately_active,full_gym,1,True,4,vegetarian,home_bodyweight
19,female,146.3,73.2,34.2,obese,weight_loss,beginner,lightly_active,"dumbbells,resistance_bands",2,False,5,vegetarian,full_body
24,female,149.4,51.1,22.9,normal,maintenance,intermediate,lightly_active,pull_up_bar,1,False,3,vegetarian,home_bodyweight
26,male,167.2,77.0,27.5,overweight,weight_loss,intermediate,lightly_active,"dumbbells,barbell",2,False,4,vegetarian,upper_lower
16,female,166.5,94.0,33.9,obese,maintenance,intermediate,moderately_active,"dumbbells,resistance_bands",2,False,1,vegan,full_body
25,female,161.1,67.1,25.9,overweight,weight_loss,beginner,moderately_active,none,1,False,3,non_vegetarian,home_bodyweight
29,female,159.5,83.0,32.6,obese,muscle_gain,beginner,sedentary,"dumbbells,resistance_bands",2,False,1,vegetarian,full_body
43,male,167.3,76.7,27.4,overweight,muscle_gain,beginner,lightly_active,"dumbbells,pull_up_bar",2,False,5,vegetarian,push_pull_legs
20,male,176.2,92.1,29.7,overweight,weight_loss,beginner,moderately_active,"dumbbells,resistance_bands",2,False,3,vegetarian,full_body
16,male,174.9,61.9,20.2,normal,muscle_gain,beginner,moderately_active,none,1,False,4,non_vegetarian,home_bodyweight
27,female,150.9,39.8,17.5,underweight,muscle_gain,intermediate,sedentary,dumbbells,1,False,4,non_vegetarian,upper_lower
23,male,157.0,69.7,28.3,overweight,weight_loss,beginner,lightly_active,dumbbells,1,False,1,vegetarian,full_body
22,male,165.8,78.5,28.6,overweight,muscle_gain,intermediate,moderately_active,full_gym,1,True,5,non_vegetarian,push_pull_legs
49,female,164.7,70.8,26.1,overweight,weight_loss,beginner,very_active,full_gym,1,True,4,vegetarian,home_bodyweight
35,female,166.1,81.8,29.6,overweight,muscle_gain,beginner,sedentary,dumbbells,1,False,5,vegetarian,push_pull_legs
24,female,158.9,74.0,29.3,overweight,maintenance,beginner,very_active,none,1,False,4,non_vegetarian,home_bodyweight
24,male,172.0,76.1,25.7,overweight,weight_loss,beginner,lightly_active,none,1,False,4,non_vegetarian,home_bodyweight
37,female,147.4,44.1,20.3,normal,maintenance,beginner,moderately_active,full_gym,1,True,5,non_vegetarian,upper_lower
16,male,168.3,57.4,20.3,normal,weight_loss,intermediate,moderately_active,"dumbbells,resistance_bands",2,False,3,vegetarian,full_body
38,female,160.4,51.0,19.8,normal,general_fitness,intermediate,lightly_active,full_gym,1,True,4,vegetarian,upper_lower
37,female,155.7,50.3,20.7,normal,general_fitness,intermediate,sedentary,none,1,False,4,non_vegetarian,home_bodyweight
26,male,179.5,80.4,25.0,overweight,weight_loss,beginner,lightly_active,dumbbells,1,False,2,vegetarian,full_body
19,male,174.9,69.4,22.7,normal,general_fitness,intermediate,moderately_active,resistance_bands,1,False,4,vegetarian,home_bodyweight
16,female,166.5,61.6,22.2,normal,maintenance,beginner,very_active,"dumbbells,resistance_bands",2,False,3,non_vegetarian,full_body
27,male,182.9,51.1,15.3,underweight,weight_loss,beginner,very_active,dumbbells,1,False,5,non_vegetarian,full_body
20,male,185.2,90.4,26.4,overweight,weight_loss,beginner,lightly_active,resistance_bands,1,False,3,non_vegetarian,home_bodyweight
18,male,167.2,74.3,26.6,overweight,muscle_gain,beginner,moderately_active,"dumbbells,barbell",2,False,5,non_vegetarian,push_pull_legs
33,male,173.7,78.1,25.9,overweight,general_fitness,beginner,moderately_active,"dumbbells,resistance_bands",2,False,6,vegetarian,push_pull_legs
35,male,180.6,52.4,16.1,underweight,muscle_gain,beginner,lightly_active,full_gym,1,True,5,non_vegetarian,push_pull_legs
37,female,169.7,54.1,18.8,normal,maintenance,beginner,lightly_active,full_gym,1,True,5,vegetarian,upper_lower
29,female,168.1,93.5,33.1,obese,general_fitness,intermediate,moderately_active,"dumbbells,resistance_bands",2,False,4,non_vegetarian,upper_lower
25,male,168.7,69.2,24.3,normal,weight_loss,beginner,very_active,resistance_bands,1,False,3,non_vegetarian,home_bodyweight
19,male,189.3,120.6,33.7,obese,general_fitness,beginner,moderately_active,full_gym,1,True,6,non_vegetarian,push_pull_legs
20,male,181.0,90.9,27.7,overweight,general_fitness,beginner,lightly_active,none,1,False,5,vegetarian,home_bodyweight
39,female,166.1,78.2,28.3,overweight,weight_loss,beginner,lightly_active,"dumbbells,resistance_bands",2,False,3,non_vegetarian,full_body
31,male,162.5,64.6,24.5,normal,general_fitness,beginner,moderately_active,none,1,False,5,non_vegetarian,home_bodyweight
16,female,172.9,100.4,33.6,obese,muscle_gain,advanced,extra_active,dumbbells,1,False,3,non_vegetarian,push_pull_legs
30,female,170.8,72.1,24.7,normal,maintenance,intermediate,very_active,none,1,False,3,vegetarian,home_bodyweight
18,female,164.6,64.5,23.8,normal,muscle_gain,beginner,very_active,full_gym,1,True,3,vegetarian,full_body
28,male,174.4,101.8,33.5,obese,maintenance,beginner,lightly_active,full_gym,1,True,3,non_vegetarian,full_body
28,male,176.7,76.6,24.5,normal,weight_loss,beginner,moderately_active,none,1,False,7,non_vegetarian,home_bodyweight
18,male,173.9,61.5,20.3,normal,maintenance,intermediate,moderately_active,full_gym,1,True,3,non_vegetarian,push_pull_legs
33,female,164.5,44.4,16.4,underweight,general_fitness,beginner,moderately_active,dumbbells,1,False,1,non_vegetarian,full_body
37,male,182.4,97.0,29.2,overweight,general_fitness,beginner,moderately_active,resistance_bands,1,False,2,non_vegetarian,home_bodyweight
20,male,167.4,73.8,26.3,overweight,weight_loss,beginner,moderately_active,dumbbells,1,False,2,vegan,full_body
40,female,169.1,65.8,23.0,normal,weight_loss,beginner,lightly_active,none,1,False,4,vegetarian,home_bodyweight
25,male,176.5,72.2,23.2,normal,muscle_gain,intermediate,sedentary,full_gym,1,True,2,non_vegetarian,full_body
30,female,158.7,55.1,21.9,normal,maintenance,intermediate,lightly_active,dumbbells,1,False,5,vegan,push_pull_legs
24,male,176.7,77.6,24.9,normal,weight_loss,intermediate,lightly_active,"dumbbells,barbell",2,False,4,vegetarian,upper_lower
24,female,171.3,53.0,18.1,underweight,weight_loss,beginner,moderately_active,full_gym,1,True,3,vegetarian,full_body
16,male,175.2,75.4,24.6,normal,general_fitness,intermediate,very_active,none,1,False,5,non_vegetarian,home_bodyweight
39,male,156.3,67.2,27.5,overweight,weight_loss,beginner,sedentary,full_gym,1,True,4,vegan,home_bodyweight
18,female,159.5,52.3,20.6,normal,weight_loss,intermediate,lightly_active,dumbbells,1,False,5,vegetarian,push_pull_legs
25,male,185.0,111.0,32.4,obese,weight_loss,beginner,very_active,"dumbbells,barbell",2,False,6,non_vegetarian,home_bodyweight
45,other,168.3,91.5,32.3,obese,muscle_gain,beginner,very_active,resistance_bands,1,False,5,vegetarian,home_bodyweight
29,male,177.6,125.5,39.8,obese,muscle_gain,intermediate,moderately_active,dumbbells,1,False,2,vegetarian,full_body
22,male,181.8,74.5,22.5,normal,muscle_gain,beginner,moderately_active,dumbbells,1,False,2,vegetarian,full_body
36,male,175.2,79.1,25.8,overweight,maintenance,beginner,extra_active,full_gym,1,True,2,vegetarian,full_body
31,male,178.0,51.7,16.3,underweight,general_fitness,intermediate,extra_active,none,1,False,4,vegetarian,home_bodyweight
19,male,164.9,66.1,24.3,normal,weight_loss,intermediate,lightly_active,dumbbells,1,False,4,vegetarian,upper_lower
22,female,167.4,51.1,18.2,underweight,maintenance,beginner,moderately_active,pull_up_bar,1,False,4,non_vegetarian,home_bodyweight
23,female,161.7,65.3,25.0,overweight,weight_loss,beginner,moderately_active,resistance_bands,1,False,4,vegetarian,home_bodyweight
35,male,175.4,46.3,15.0,underweight,weight_loss,beginner,extra_active,none,1,False,6,non_vegetarian,home_bodyweight
28,male,173.5,72.3,24.0,normal,general_fitness,beginner,very_active,dumbbells,1,False,2,vegetarian,full_body
30,female,168.2,53.2,18.8,normal,weight_loss,beginner,sedentary,resistance_bands,1,False,6,vegetarian,home_bodyweight
18,female,163.9,79.8,29.7,overweight,maintenance,intermediate,moderately_active,resistance_bands,1,False,2,non_vegetarian,home_bodyweight
16,male,163.1,54.3,20.4,normal,general_fitness,beginner,moderately_active,dumbbells,1,False,5,vegetarian,full_body
24,female,162.3,62.8,23.8,normal,weight_loss,beginner,extra_active,"dumbbells,pull_up_bar",2,False,4,vegetarian,home_bodyweight
22,female,156.4,62.2,25.4,overweight,weight_loss,advanced,moderately_active,dumbbells,1,False,5,non_vegetarian,push_pull_legs
32,female,162.7,66.1,25.0,overweight,general_fitness,intermediate,lightly_active,full_gym,1,True,4,vegan,upper_lower
